日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2020-11-10,10:00:00,股票,世龙实业(002748.XSHE),买,市价单,7600股,6.93,52668,7600股,-,0,13.17,全部成交,2020-11-10 10:00:00
2020-11-24,10:00:00,股票,世龙实业(002748.XSHE),卖,市价单,-7600股,7.1,-53960,-7600股,-,1292,67.45,全部成交,2020-11-24 10:00:00
2020-11-24,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,1200股,21.74,26088,1200股,-,0,6.52,全部成交,2020-11-24 10:00:00
2020-11-24,10:00:00,股票,凤形股份(002760.XSHE),买,市价单,1400股,19.18,26852,1400股,-,0,6.71,全部成交,2020-11-24 10:00:00
2020-12-08,10:00:00,股票,凤形股份(002760.XSHE),卖,市价单,-1400股,19.19,-26866,-1400股,-,14,33.58,全部成交,2020-12-08 10:00:00
2020-12-08,10:00:00,股票,世龙实业(002748.XSHE),买,市价单,4100股,6.93,28413,4100股,-,0,7.1,全部成交,2020-12-08 10:00:00
2020-12-17,10:00:00,股票,名雕股份(002830.XSHE),卖,市价单,-4400股,10.67,-46948,-4400股,-,-6160,58.68,全部成交,2020-12-17 10:00:00
2020-12-17,10:00:00,股票,天顺股份(002800.XSHE),卖,市价单,-1200股,19.62,-23544,-1200股,-,-2544,29.43,全部成交,2020-12-17 10:00:00
2020-12-22,10:00:00,股票,名雕股份(002830.XSHE),买,市价单,3200股,10.77,34464,3200股,-,0,8.62,全部成交,2020-12-22 10:00:00
2020-12-22,10:00:00,股票,天顺股份(002800.XSHE),买,市价单,1700股,19.61,33337,1700股,-,0,8.33,全部成交,2020-12-22 10:00:00
2020-12-24,10:00:00,股票,达意隆(002209.XSHE),卖,市价单,-7900股,6.77,-53483,-7900股,-,-5846,66.85,全部成交,2020-12-24 10:00:00
2020-12-24,10:00:00,股票,世龙实业(002748.XSHE),卖,市价单,-4100股,6.16,-25256,-4100股,-,-3157,31.57,全部成交,2020-12-24 10:00:00
2020-12-29,10:00:00,股票,达意隆(002209.XSHE),买,市价单,6100股,6.6,40260,6100股,-,0,10.06,全部成交,2020-12-29 10:00:00
