symbol,buy_date,buy_time,buy_price,sell_time,sell_price,profit_pct,sell_reason
300209.SZ,2022-03-28,2022-03-28 09:31,6.66,2022-03-29 11:28,7.15,7.3574,T+1上午盈利卖出
300369.SZ,2023-06-01,2023-06-01 09:31,13.5,2023-06-02 14:50,13.29,-1.5556,T+1尾盘清仓
300427.SZ,2024-02-29,2024-02-29 09:31,4.26,2024-03-01 11:28,4.28,0.4695,T+1上午盈利卖出
300464.SZ,2022-05-05,2022-05-05 09:31,5.89,2022-05-06 11:28,6.25,6.1121,T+1上午盈利卖出
300546.SZ,2021-08-20,2021-08-20 09:31,17.0,2021-08-23 11:28,19.66,15.6471,T+1上午盈利卖出
300643.SZ,2021-11-01,2021-11-01 09:31,12.66,2021-11-02 11:28,13.25,4.6603,T+1上午盈利卖出
300716.SZ,2024-06-24,2024-06-24 09:31,6.8,2024-06-25 11:28,7.85,15.4412,T+1上午盈利卖出
300720.SZ,2021-01-20,2021-01-20 09:31,24.75,2021-01-21 14:50,23.65,-4.4444,T+1尾盘清仓
300793.SZ,2020-12-10,2020-12-10 09:31,23.54,2020-12-11 14:50,23.27,-1.147,T+1尾盘清仓
300807.SZ,2022-03-03,2022-03-03 09:31,30.0,2022-03-04 14:50,27.74,-7.5333,T+1尾盘清仓
300822.SZ,2025-04-22,2025-04-22 09:31,21.0,2025-04-23 11:28,21.17,0.8095,T+1上午盈利卖出
300829.SZ,2021-04-23,2021-04-23 09:31,70.8,2021-04-26 14:50,67.13,-5.1836,T+1尾盘清仓
300875.SZ,2024-02-27,2024-02-27 09:31,26.3,2024-02-28 14:50,23.25,-11.597,T+1尾盘清仓
300889.SZ,2021-02-05,2021-02-05 09:31,32.44,2021-02-08 14:50,28.8,-11.2207,T+1尾盘清仓
300892.SZ,2021-09-27,2021-09-27 09:31,38.5,2021-09-28 11:28,40.04,4.0,T+1上午盈利卖出
300921.SZ,2025-07-07,2025-07-07 09:31,25.2,2025-07-08 11:28,25.76,2.2222,T+1上午盈利卖出
301027.SZ,2024-06-20,2024-06-20 09:31,8.53,2024-06-21 11:28,9.73,14.068,T+1上午盈利卖出
301125.SZ,2024-06-28,2024-06-28 09:31,10.22,2024-07-01 14:50,9.54,-6.6536,T+1尾盘清仓
301230.SZ,2023-07-14,2023-07-14 09:31,50.53,2023-07-17 11:28,54.26,7.3818,T+1上午盈利卖出
301302.SZ,2024-01-23,2024-01-23 09:31,24.86,2024-01-24 11:28,28.71,15.4867,T+1上午盈利卖出
301313.SZ,2024-02-20,2024-02-20 09:31,22.75,2024-02-21 11:28,23.12,1.6264,T+1上午盈利卖出
301319.SZ,2025-06-27,2025-06-27 09:31,29.0,2025-06-30 11:28,34.29,18.2414,T+1上午盈利卖出
301370.SZ,2024-07-24,2024-07-24 09:31,11.02,2024-07-25 14:50,10.19,-7.5318,T+1尾盘清仓
600053.SH,2025-01-13,2025-01-13 09:31,14.06,2025-01-14 11:28,14.92,6.1166,T+1上午盈利卖出
600082.SH,2022-05-13,2022-05-13 09:31,3.86,2022-05-16 11:28,3.95,2.3316,T+1上午盈利卖出
600119.SH,2024-06-05,2024-06-05 09:31,6.19,2024-06-06 14:50,5.76,-6.9467,T+1尾盘清仓
600137.SH,2024-04-24,2024-04-24 09:31,12.75,2024-04-25 11:28,13.42,5.2549,T+1上午盈利卖出
600173.SH,2021-08-20,2021-08-20 09:31,5.6,2021-08-23 14:50,5.51,-1.6071,T+1尾盘清仓
600207.SH,2025-02-10,2025-02-10 09:31,4.55,2025-02-11 14:50,4.51,-0.8791,T+1尾盘清仓
600243.SH,2024-02-27,2024-02-27 09:31,3.86,2024-02-28 14:50,3.51,-9.0674,T+1尾盘清仓
600249.SH,2025-05-16,2025-05-16 09:31,5.98,2025-05-19 11:28,6.04,1.0033,T+1上午盈利卖出
600257.SH,2022-03-18,2022-03-18 09:31,6.03,2022-03-21 11:28,6.51,7.9602,T+1上午盈利卖出
600265.SH,2024-08-09,2024-08-09 09:31,14.7,2024-08-12 14:50,13.95,-5.102,T+1尾盘清仓
600280.SH,2024-09-02,2024-09-02 09:31,2.58,2024-09-03 14:50,2.55,-1.1628,T+1尾盘清仓
600318.SH,2022-04-22,2022-04-22 09:31,7.18,2022-04-25 11:28,7.5,4.4568,T+1上午盈利卖出
600318.SH,2025-03-06,2025-03-06 09:31,8.42,2025-03-07 11:28,8.46,0.4751,T+1上午盈利卖出
600337.SH,2024-06-21,2024-06-21 09:31,2.22,2024-06-24 14:50,2.05,-7.6577,T+1尾盘清仓
600353.SH,2022-10-13,2022-10-13 09:31,10.59,2022-10-14 11:28,10.76,1.6053,T+1上午盈利卖出
600403.SH,2026-02-05,2026-02-05 09:31,7.14,2026-02-06 14:50,7.1,-0.5602,T+1尾盘清仓
600421.SH,2025-04-16,2025-04-16 09:31,6.19,2025-04-17 14:50,6.02,-2.7464,T+1尾盘清仓
600520.SH,2023-05-18,2023-05-18 09:31,13.63,2023-05-19 11:28,14.39,5.5759,T+1上午盈利卖出
600521.SH,2022-05-23,2022-05-23 09:31,20.01,2022-05-24 14:50,19.51,-2.4988,T+1尾盘清仓
600602.SH,2022-04-21,2022-04-21 09:31,7.5,2022-04-22 14:50,7.06,-5.8667,T+1尾盘清仓
600604.SH,2026-03-23,2026-03-23 09:31,5.53,2026-03-24 14:50,5.45,-1.4467,T+1尾盘清仓
