symbol,buy_date,buy_price,sell_date,sell_price,profit_pct,sell_reason
002771.SZ,2022-12-15,11.5,2022-12-16,11.61,0.9565,T+1开盘卖出(盈利)
002778.SZ,2022-10-21,14.36,2022-10-24,14.48,0.8357,T+1开盘卖出(盈利)
002797.SZ,2022-04-28,5.35,2022-04-29,5.53,3.3645,T+1开盘卖出(盈利)
002799.SZ,2025-01-17,8.46,2025-01-20,9.02,6.6194,T+1收盘卖出
002825.SZ,2021-01-18,13.83,2021-01-19,14.56,5.2784,T+1开盘卖出(盈利)
002830.SZ,2021-01-29,9.4,2021-02-01,8.58,-8.7234,T+1收盘卖出
002856.SZ,2025-03-27,9.25,2025-03-28,8.51,-8.0,T+1收盘卖出
002861.SZ,2024-06-11,7.78,2024-06-12,8.59,10.4113,T+1开盘卖出(盈利)
002881.SZ,2022-05-19,34.01,2022-05-20,38.02,11.7906,T+1开盘卖出(盈利)
002883.SZ,2024-04-24,9.44,2024-04-25,9.95,5.4025,T+1开盘卖出(盈利)
002888.SZ,2024-02-27,15.92,2024-02-28,16.55,3.9573,T+1开盘卖出(盈利)
002922.SZ,2022-05-20,14.02,2022-05-23,14.62,4.2796,T+1开盘卖出(盈利)
002928.SZ,2026-04-09,8.29,2026-04-10,8.56,3.2569,T+1开盘卖出(盈利)
002952.SZ,2022-05-10,12.3,2022-05-11,12.36,0.4878,T+1开盘卖出(盈利)
002962.SZ,2021-07-02,13.6,2021-07-05,14.06,3.3824,T+1开盘卖出(盈利)
003001.SZ,2025-04-07,37.0,2025-04-08,32.54,-12.0541,T+1收盘卖出
003007.SZ,2021-08-24,18.67,2021-08-25,18.66,-0.0536,T+1收盘卖出
003007.SZ,2024-02-01,35.52,2024-02-02,40.28,13.4009,T+1开盘卖出(盈利)
003021.SZ,2024-03-07,69.5,2024-03-08,68.84,-0.9496,T+1收盘卖出
003025.SZ,2024-02-27,12.5,2024-02-28,12.91,3.28,T+1开盘卖出(盈利)
003040.SZ,2022-02-14,27.78,2022-02-15,28.15,1.3319,T+1开盘卖出(盈利)
300157.SZ,2021-01-07,4.41,2021-01-08,4.46,1.1338,T+1开盘卖出(盈利)
300158.SZ,2022-04-27,10.01,2022-04-28,10.25,2.3976,T+1开盘卖出(盈利)
300159.SZ,2021-03-04,3.44,2021-03-05,3.52,2.3256,T+1开盘卖出(盈利)
300209.SZ,2022-03-28,6.66,2022-03-29,6.81,2.2523,T+1开盘卖出(盈利)
300369.SZ,2023-06-01,13.5,2023-06-02,13.68,1.3333,T+1开盘卖出(盈利)
300427.SZ,2024-02-29,4.26,2024-03-01,4.35,2.1127,T+1开盘卖出(盈利)
300464.SZ,2022-05-05,5.89,2022-05-06,6.15,4.4143,T+1收盘卖出
300546.SZ,2021-08-20,17.0,2021-08-23,17.73,4.2941,T+1开盘卖出(盈利)
300643.SZ,2021-11-01,12.66,2021-11-02,13.29,4.9763,T+1开盘卖出(盈利)
300716.SZ,2024-06-24,6.8,2024-06-25,7.6,11.7647,T+1开盘卖出(盈利)
300720.SZ,2021-01-20,24.75,2021-01-21,23.79,-3.8788,T+1收盘卖出
300793.SZ,2020-12-10,23.54,2020-12-11,24.06,2.209,T+1开盘卖出(盈利)
300807.SZ,2022-03-03,30.0,2022-03-04,27.98,-6.7333,T+1收盘卖出
300822.SZ,2025-04-22,21.0,2025-04-23,21.46,2.1905,T+1开盘卖出(盈利)
300829.SZ,2021-04-23,70.8,2021-04-26,67.07,-5.2684,T+1收盘卖出
300875.SZ,2024-02-27,26.3,2024-02-28,23.0,-12.5475,T+1收盘卖出
300889.SZ,2021-02-05,32.44,2021-02-08,28.97,-10.6967,T+1收盘卖出
300892.SZ,2021-09-27,38.5,2021-09-28,40.43,5.013,T+1开盘卖出(盈利)
300921.SZ,2025-07-07,25.3,2025-07-08,25.78,1.8972,T+1开盘卖出(盈利)
301027.SZ,2024-06-20,8.53,2024-06-21,9.73,14.068,T+1收盘卖出
301125.SZ,2024-06-28,10.22,2024-07-01,9.68,-5.2838,T+1收盘卖出
301230.SZ,2023-07-14,50.53,2023-07-17,54.02,6.9068,T+1开盘卖出(盈利)
301302.SZ,2024-01-23,24.86,2024-01-24,28.08,12.9525,T+1开盘卖出(盈利)
301313.SZ,2024-02-20,22.75,2024-02-21,22.83,0.3516,T+1收盘卖出
301319.SZ,2025-06-27,29.0,2025-06-30,30.56,5.3793,T+1开盘卖出(盈利)
301370.SZ,2024-07-24,11.02,2024-07-25,10.2,-7.441,T+1收盘卖出
600053.SH,2025-01-13,14.06,2025-01-14,14.8,5.2632,T+1开盘卖出(盈利)
600082.SH,2022-05-13,3.86,2022-05-16,4.05,4.9223,T+1开盘卖出(盈利)
