日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2021-03-22,14:50:00,股票,百润股份(002568.XSHE),卖,市价单,-2300股,96.04,-220892,-2300股,-,-9706,287.16,全部成交,2021-03-22 14:50:00
2021-04-01,09:30:00,股票,全新好(000007.XSHE),买,市价单,59200股,3.75,222000,59200股,-,0,66.6,全部成交,2021-04-01 09:30:00
2021-04-02,11:28:00,股票,全新好(000007.XSHE),卖,市价单,-59200股,4.06,-240352,-59200股,-,18352,312.46,全部成交,2021-04-02 11:28:00
2021-04-16,09:30:00,股票,美盛文化(002699.XSHE),买,市价单,45700股,5.26,240382,45700股,-,0,72.11,全部成交,2021-04-16 09:30:00
2021-04-19,11:28:00,股票,美盛文化(002699.XSHE),卖,市价单,-45700股,5.77,-263689,-45700股,-,23307,342.8,全部成交,2021-04-19 11:28:00
2021-04-20,09:30:00,股票,赣锋锂业(002460.XSHE),买,市价单,2600股,101.12,262912,2600股,-,0,78.87,全部成交,2021-04-20 09:30:00
2021-04-21,14:50:00,股票,赣锋锂业(002460.XSHE),卖,市价单,-2600股,98.83,-256958,-2600股,-,-5954,334.05,全部成交,2021-04-21 14:50:00
2021-04-23,09:30:00,股票,金丹科技(300829.XSHE),买,市价单,3600股,70.89,255204,3600股,-,0,76.56,全部成交,2021-04-23 09:30:00
2021-04-26,14:50:00,股票,金丹科技(300829.XSHE),卖,市价单,-3600股,67.05,-241380,-3600股,-,-13824,313.79,全部成交,2021-04-26 14:50:00
2021-07-02,09:30:00,股票,五方光电(002962.XSHE),买,市价单,17800股,13.62,242436,17800股,-,0,72.73,全部成交,2021-07-02 09:30:00
2021-07-05,11:28:00,股票,五方光电(002962.XSHE),卖,市价单,-17800股,14.06,-250268,-17800股,-,7832,325.35,全部成交,2021-07-05 11:28:00
2021-07-22,09:30:00,股票,丽尚国潮(600738.XSHG),买,市价单,39200股,6.38,250096,39200股,-,0,75.03,全部成交,2021-07-22 09:30:00
2021-07-23,14:50:00,股票,丽尚国潮(600738.XSHG),卖,市价单,-39200股,6.35,-248920,-39200股,-,-1176,323.6,全部成交,2021-07-23 14:50:00
2021-08-20,09:30:00,股票,雄帝科技(300546.XSHE),买,市价单,7300股,17.02,124246,7300股,-,0,37.27,全部成交,2021-08-20 09:30:00
2021-08-20,09:30:00,股票,卧龙地产(600173.XSHG),买,市价单,22100股,5.61,123981,22100股,-,0,37.19,全部成交,2021-08-20 09:30:00
2021-08-23,11:28:00,股票,雄帝科技(300546.XSHE),卖,市价单,-7300股,19.64,-143372,-7300股,-,19126,186.38,全部成交,2021-08-23 11:28:00
2021-08-23,14:50:00,股票,卧龙地产(600173.XSHG),卖,市价单,-22100股,5.5,-121550,-22100股,-,-2431,158.01,全部成交,2021-08-23 14:50:00
2021-08-24,09:30:00,股票,直真科技(003007.XSHE),买,市价单,14100股,18.69,263529,14100股,-,0,79.06,全部成交,2021-08-24 09:30:00
2021-08-25,14:50:00,股票,直真科技(003007.XSHE),卖,市价单,-14100股,18.61,-262401,-14100股,-,-1128,341.12,全部成交,2021-08-25 14:50:00
2021-09-27,09:30:00,股票,品渥食品(300892.XSHE),买,市价单,6800股,38.55,262140,6800股,-,0,78.64,全部成交,2021-09-27 09:30:00
2021-09-28,11:28:00,股票,品渥食品(300892.XSHE),卖,市价单,-6800股,39.99,-271932,-6800股,-,9792,353.51,全部成交,2021-09-28 11:28:00
2021-10-15,09:30:00,股票,百川股份(002455.XSHE),买,市价单,17400股,15.64,272136,17400股,-,0,81.64,全部成交,2021-10-15 09:30:00
2021-10-18,14:50:00,股票,百川股份(002455.XSHE),卖,市价单,-17400股,15.62,-271788,-17400股,-,-348,353.32,全部成交,2021-10-18 14:50:00
2021-10-20,09:30:00,股票,司尔特(002538.XSHE),买,市价单,12500股,10.82,135250,12500股,-,0,40.57,全部成交,2021-10-20 09:30:00
2021-10-20,09:30:00,股票,森特股份(603098.XSHG),买,市价单,3200股,41.54,132928,3200股,-,0,39.88,全部成交,2021-10-20 09:30:00
2021-10-21,11:28:00,股票,司尔特(002538.XSHE),卖,市价单,-12500股,12.25,-153125,-12500股,-,17875,199.06,全部成交,2021-10-21 11:28:00
2021-10-21,11:28:00,股票,森特股份(603098.XSHG),卖,市价单,-3200股,42.09,-134688,-3200股,-,1760,175.09,全部成交,2021-10-21 11:28:00
